id_student,code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
24,GGG,2013B,M,North West,A Level or Equivalent,30-40%,55<=,0,120,N,Withdrawn
25,FFF,2013B,M,Yorkshire,HE Qualification,60-70%,0-35,0,90,N,Distinction
26,EEE,2014J,M,North West,A Level or Equivalent,60-70%,0-35,0,30,N,Withdrawn
27,CCC,2014B,F,Scotland,A Level or Equivalent,60-70%,35-55,0,120,N,Withdrawn
28,FFF,2014J,F,Wales,HE Qualification,80-90%,0-35,0,60,N,Fail
29,DDD,2013B,F,London,HE Qualification,60-70%,0-35,2,120,N,Fail
30,DDD,2014B,M,Scotland,Lower Than A Level,0-10%,35-55,0,60,Y,Withdrawn
31,DDD,2014B,F,East Anglian,HE Qualification,30-40%,0-35,0,60,N,Pass
32,BBB,2014B,F,Yorkshire,HE Qualification,90-100%,0-35,3,60,N,Fail
33,AAA,2014B,M,Yorkshire,HE Qualification,20-30%,35-55,0,60,N,Fail
34,DDD,2013B,F,North West,Post Graduate Qualification,40-50%,0-35,2,90,N,Fail
35,GGG,2013B,F,Scotland,Lower Than A Level,50-60%,0-35,2,90,N,Distinction
36,AAA,2014J,F,Yorkshire,A Level or Equivalent,50-60%,35-55,2,60,N,Pass
37,GGG,2014B,F,Yorkshire,Lower Than A Level,80-90%,35-55,0,90,N,Pass
38,FFF,2013B,F,Yorkshire,Lower Than A Level,50-60%,0-35,0,60,N,Withdrawn
39,BBB,2014B,F,East Anglian,Lower Than A Level,0-10%,0-35,1,60,N,Fail
40,EEE,2014J,F,South East,Lower Than A Level,20-30%,0-35,0,60,N,Pass
41,BBB,2014B,M,North West,Post Graduate Qualification,60-70%,35-55,0,90,N,Pass
42,FFF,2014J,M,East Anglian,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
43,EEE,2013B,F,South East,HE Qualification,60-70%,55<=,0,60,N,Withdrawn
44,CCC,2013B,F,East Anglian,HE Qualification,70-80%,35-55,1,60,N,Pass
45,AAA,2014B,F,Scotland,HE Qualification,20-30%,0-35,3,90,N,Distinction
46,GGG,2014J,M,Scotland,A Level or Equivalent,0-10%,35-55,0,30,N,Pass
47,DDD,2014J,F,North West,No Formal quals,90-100%,55<=,0,60,N,Fail
48,GGG,2014B,M,Yorkshire,Lower Than A Level,50-60%,35-55,0,60,N,Pass
49,EEE,2013B,F,Scotland,Lower Than A Level,70-80%,35-55,0,30,N,Withdrawn
50,FFF,2014B,F,North West,Lower Than A Level,90-100%,0-35,0,60,N,Pass
51,FFF,2013B,F,North West,Post Graduate Qualification,10-20%,35-55,1,90,N,Distinction
52,BBB,2013B,F,Scotland,Lower Than A Level,80-90%,35-55,0,60,N,Fail
53,CCC,2013B,F,East Anglian,HE Qualification,30-40%,0-35,1,90,N,Fail
54,DDD,2014J,F,Wales,A Level or Equivalent,60-70%,0-35,0,120,Y,Pass
55,DDD,2014B,M,North West,A Level or Equivalent,30-40%,55<=,0,60,N,Withdrawn
56,AAA,2013B,F,South East,HE Qualification,10-20%,0-35,1,60,N,Fail
57,DDD,2014B,F,Wales,HE Qualification,80-90%,0-35,0,30,N,Withdrawn
58,BBB,2014J,F,South East,HE Qualification,30-40%,0-35,0,60,Y,Fail
59,FFF,2014J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Withdrawn
60,EEE,2014B,F,London,HE Qualification,10-20%,0-35,0,60,N,Fail
61,GGG,2013B,M,North West,Post Graduate Qualification,90-100%,0-35,0,90,N,Withdrawn
62,FFF,2014B,M,Wales,HE Qualification,80-90%,0-35,1,90,N,Pass
63,CCC,2014B,F,South East,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn
64,GGG,2014J,M,South East,HE Qualification,70-80%,0-35,0,90,N,Pass
65,CCC,2014B,M,East Anglian,No Formal quals,60-70%,0-35,0,120,N,Fail
66,CCC,2014J,F,South East,Lower Than A Level,90-100%,0-35,1,60,N,Distinction
67,GGG,2014B,F,London,Post Graduate Qualification,0-10%,0-35,0,30,N,Pass
68,CCC,2014B,F,East Anglian,A Level or Equivalent,0-10%,0-35,1,90,N,Pass
69,AAA,2013B,M,Wales,A Level or Equivalent,60-70%,35-55,0,90,N,Distinction
70,DDD,2014B,M,Yorkshire,A Level or Equivalent,90-100%,0-35,1,60,N,Withdrawn
71,FFF,2013B,M,Wales,A Level or Equivalent,50-60%,35-55,1,90,N,Pass
72,BBB,2014B,M,Scotland,Lower Than A Level,90-100%,0-35,1,60,N,Withdrawn
73,DDD,2014J,M,East Anglian,HE Qualification,40-50%,0-35,1,60,N,Pass
74,AAA,2014B,M,Wales,HE Qualification,60-70%,0-35,0,90,N,Withdrawn
75,EEE,2014B,M,Scotland,Post Graduate Qualification,50-60%,0-35,0,90,N,Distinction
76,DDD,2014J,F,London,HE Qualification,80-90%,35-55,0,30,N,Withdrawn
77,CCC,2013B,F,South East,Lower Than A Level,60-70%,35-55,0,30,N,Withdrawn
78,BBB,2013B,M,East Anglian,HE Qualification,40-50%,0-35,0,60,N,Fail
79,DDD,2014B,F,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
80,EEE,2014B,M,East Anglian,HE Qualification,30-40%,0-35,0,90,N,Withdrawn
81,GGG,2014B,F,North West,A Level or Equivalent,0-10%,55<=,3,30,N,Distinction
82,DDD,2014J,M,North West,Lower Than A Level,10-20%,0-35,1,90,N,Distinction
83,BBB,2014B,F,East Anglian,Post Graduate Qualification,50-60%,0-35,0,60,N,Distinction
84,FFF,2014B,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Withdrawn
85,EEE,2014B,M,South East,HE Qualification,40-50%,55<=,0,60,N,Pass
86,EEE,2014J,F,Scotland,Lower Than A Level,0-10%,55<=,0,90,N,Pass
87,AAA,2014J,F,North West,HE Qualification,10-20%,0-35,0,60,N,Distinction
88,CCC,2013B,F,South East,HE Qualification,60-70%,0-35,0,60,N,Pass
89,FFF,2013B,F,North West,A Level or Equivalent,0-10%,35-55,0,60,Y,Pass
90,FFF,2013B,M,London,Lower Than A Level,30-40%,0-35,0,60,Y,Pass
91,DDD,2014B,F,Scotland,HE Qualification,10-20%,0-35,0,60,N,Pass
92,FFF,2014B,F,London,HE Qualification,0-10%,0-35,0,120,N,Withdrawn
93,FFF,2013B,F,Scotland,No Formal quals,20-30%,0-35,0,90,N,Withdrawn
94,CCC,2014B,F,Wales,Post Graduate Qualification,10-20%,0-35,0,30,N,Withdrawn
95,GGG,2014B,F,South East,Lower Than A Level,0-10%,35-55,1,90,Y,Pass
96,CCC,2014J,F,South East,Lower Than A Level,60-70%,35-55,0,60,N,Withdrawn
97,BBB,2014B,F,Yorkshire,Post Graduate Qualification,10-20%,0-35,0,60,N,Withdrawn
98,EEE,2014B,M,Wales,A Level or Equivalent,90-100%,0-35,3,60,N,Withdrawn
99,EEE,2014B,M,Wales,Lower Than A Level,40-50%,0-35,0,30,N,Pass
100,AAA,2013B,M,London,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
101,FFF,2014B,F,South East,HE Qualification,80-90%,0-35,1,60,N,Withdrawn
102,BBB,2013B,F,Wales,Lower Than A Level,70-80%,0-35,1,60,N,Pass
103,FFF,2013B,M,Scotland,Lower Than A Level,40-50%,0-35,0,30,N,Withdrawn
104,AAA,2014B,F,Yorkshire,HE Qualification,90-100%,0-35,0,60,N,Pass
105,FFF,2014B,F,London,A Level or Equivalent,50-60%,0-35,1,60,N,Fail
106,FFF,2014B,M,London,Lower Than A Level,70-80%,0-35,0,60,N,Pass
107,FFF,2014J,M,South East,HE Qualification,90-100%,35-55,0,60,N,Pass
108,EEE,2013B,F,London,Lower Than A Level,70-80%,0-35,1,60,N,Fail
109,DDD,2014J,F,Wales,HE Qualification,50-60%,35-55,1,60,N,Fail
110,EEE,2014B,M,Yorkshire,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
111,BBB,2014J,M,North West,No Formal quals,60-70%,0-35,0,90,N,Fail
112,FFF,2014J,M,London,Post Graduate Qualification,90-100%,35-55,0,60,N,Withdrawn
113,DDD,2014J,F,London,Post Graduate Qualification,70-80%,55<=,1,60,N,Withdrawn
114,DDD,2014B,M,South East,Lower Than A Level,20-30%,0-35,1,60,N,Pass
115,DDD,2014B,M,Yorkshire,A Level or Equivalent,0-10%,35-55,1,60,N,Withdrawn
116,DDD,2014B,F,Yorkshire,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
117,AAA,2014J,F,Scotland,HE Qualification,40-50%,35-55,2,120,N,Distinction
118,AAA,2013B,M,Wales,A Level or Equivalent,40-50%,0-35,0,60,N,Withdrawn
119,BBB,2014J,F,Wales,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn
120,AAA,2014J,M,Yorkshire,A Level or Equivalent,10-20%,0-35,1,60,N,Fail
121,DDD,2013B,F,London,A Level or Equivalent,0-10%,0-35,0,120,N,Distinction
122,EEE,2013B,M,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
123,EEE,2013B,F,Wales,HE Qualification,90-100%,35-55,0,60,N,Pass
124,DDD,2014B,M,Scotland,HE Qualification,80-90%,0-35,1,60,N,Pass
125,FFF,2013B,F,East Anglian,A Level or Equivalent,80-90%,0-35,0,90,Y,Fail
126,DDD,2013B,M,Yorkshire,HE Qualification,80-90%,0-35,0,90,N,Fail
127,AAA,2013B,M,East Anglian,Post Graduate Qualification,60-70%,0-35,0,90,N,Withdrawn
128,FFF,2013B,F,North West,HE Qualification,90-100%,35-55,1,90,N,Pass
129,EEE,2014B,M,East Anglian,Lower Than A Level,30-40%,35-55,2,60,N,Withdrawn
130,EEE,2013B,F,Yorkshire,HE Qualification,70-80%,0-35,0,30,Y,Distinction
131,DDD,2014B,F,London,Post Graduate Qualification,0-10%,0-35,1,90,N,Pass
132,DDD,2013B,M,East Anglian,Lower Than A Level,50-60%,0-35,0,60,N,Fail
133,AAA,2013B,M,South East,Post Graduate Qualification,20-30%,55<=,0,30,N,Distinction
134,DDD,2014J,M,East Anglian,Post Graduate Qualification,90-100%,0-35,0,30,N,Withdrawn
135,FFF,2014J,F,London,Lower Than A Level,40-50%,0-35,0,60,N,Fail
136,CCC,2013B,F,Wales,HE Qualification,20-30%,0-35,0,60,N,Pass
137,EEE,2013B,M,East Anglian,A Level or Equivalent,50-60%,0-35,0,60,N,Distinction
138,AAA,2014J,M,Scotland,HE Qualification,0-10%,0-35,0,60,N,Distinction
139,CCC,2014J,M,Scotland,Post Graduate Qualification,10-20%,55<=,1,30,N,Distinction
140,DDD,2014B,M,East Anglian,Post Graduate Qualification,40-50%,0-35,0,60,N,Fail
141,GGG,2014J,F,London,HE Qualification,60-70%,0-35,1,90,N,Fail
142,BBB,2013B,F,Scotland,Lower Than A Level,50-60%,0-35,1,90,N,Withdrawn
143,BBB,2014B,M,Yorkshire,HE Qualification,0-10%,0-35,0,90,N,Withdrawn
144,CCC,2014B,F,South East,Lower Than A Level,60-70%,55<=,1,30,Y,Withdrawn
145,GGG,2014J,M,Scotland,A Level or Equivalent,0-10%,35-55,0,120,N,Pass
146,FFF,2013B,M,North West,A Level or Equivalent,80-90%,55<=,0,90,N,Withdrawn
147,AAA,2014B,F,South East,Post Graduate Qualification,0-10%,35-55,1,60,N,Withdrawn
148,BBB,2014J,M,Wales,HE Qualification,0-10%,35-55,0,60,N,Pass
149,FFF,2013B,M,East Anglian,Lower Than A Level,50-60%,0-35,0,60,N,Pass
150,AAA,2013B,M,North West,Lower Than A Level,80-90%,0-35,2,60,N,Withdrawn
151,FFF,2014J,M,North West,HE Qualification,70-80%,35-55,1,90,N,Distinction
152,BBB,2014J,M,East Anglian,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
153,GGG,2014B,F,London,HE Qualification,10-20%,0-35,0,30,N,Pass
154,CCC,2013B,F,Scotland,A Level or Equivalent,90-100%,0-35,1,60,N,Fail
155,DDD,2014B,M,South East,Post Graduate Qualification,0-10%,35-55,3,90,N,Pass
156,EEE,2013B,F,Wales,HE Qualification,30-40%,0-35,0,90,N,Pass
157,AAA,2014B,M,Yorkshire,HE Qualification,70-80%,0-35,1,60,N,Pass
158,DDD,2013B,M,Yorkshire,A Level or Equivalent,60-70%,0-35,0,120,N,Pass
159,DDD,2014J,F,South East,HE Qualification,70-80%,0-35,0,30,N,Withdrawn
160,FFF,2014J,M,London,HE Qualification,70-80%,0-35,2,30,N,Fail
161,GGG,2014B,F,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
162,EEE,2014B,M,North West,A Level or Equivalent,50-60%,35-55,0,90,Y,Fail
163,CCC,2013B,F,Yorkshire,Lower Than A Level,80-90%,0-35,0,90,N,Distinction
164,CCC,2014J,M,East Anglian,A Level or Equivalent,10-20%,0-35,0,90,N,Withdrawn
165,CCC,2013B,M,North West,A Level or Equivalent,10-20%,0-35,0,90,N,Withdrawn
166,FFF,2014B,F,South East,A Level or Equivalent,0-10%,0-35,0,60,N,Withdrawn
167,CCC,2014J,M,North West,HE Qualification,20-30%,0-35,0,60,N,Fail
168,BBB,2013B,M,Scotland,A Level or Equivalent,10-20%,35-55,0,60,N,Fail
169,CCC,2013B,M,South East,Lower Than A Level,80-90%,35-55,0,60,N,Fail
170,AAA,2014J,F,North West,No Formal quals,40-50%,0-35,0,60,N,Fail
171,AAA,2014B,F,South East,HE Qualification,40-50%,35-55,2,30,N,Fail
172,AAA,2014B,F,London,A Level or Equivalent,60-70%,0-35,0,60,N,Pass
173,FFF,2014B,F,East Anglian,A Level or Equivalent,30-40%,35-55,0,60,Y,Fail
174,FFF,2014J,F,Wales,HE Qualification,50-60%,0-35,1,30,N,Distinction
175,EEE,2014B,M,Wales,Lower Than A Level,0-10%,35-55,1,120,N,Fail
176,DDD,2014B,F,Wales,HE Qualification,70-80%,0-35,1,30,N,Pass
177,FFF,2014B,F,East Anglian,Post Graduate Qualification,80-90%,0-35,3,120,N,Fail
178,BBB,2014J,F,Yorkshire,A Level or Equivalent,0-10%,0-35,0,30,N,Fail
179,GGG,2014B,F,London,HE Qualification,0-10%,35-55,1,90,N,Pass
180,DDD,2013B,F,South East,Lower Than A Level,10-20%,55<=,0,60,N,Pass
181,GGG,2014B,F,East Anglian,HE Qualification,60-70%,35-55,0,30,N,Pass
182,BBB,2014J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,Y,Fail
183,DDD,2013B,M,Wales,Lower Than A Level,80-90%,0-35,1,60,N,Pass
184,EEE,2013B,M,East Anglian,A Level or Equivalent,70-80%,35-55,0,90,N,Fail
185,DDD,2014J,F,London,HE Qualification,50-60%,35-55,1,30,N,Distinction
186,DDD,2014J,M,Wales,A Level or Equivalent,70-80%,0-35,0,60,N,Pass
187,BBB,2013B,M,North West,A Level or Equivalent,20-30%,0-35,1,60,N,Pass
188,CCC,2013B,F,London,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn
189,BBB,2014J,M,Yorkshire,A Level or Equivalent,10-20%,0-35,0,60,N,Distinction
190,CCC,2014J,F,South East,A Level or Equivalent,90-100%,0-35,0,30,N,Fail
191,EEE,2014J,F,North West,Lower Than A Level,0-10%,35-55,0,60,N,Pass
192,EEE,2014J,M,East Anglian,Lower Than A Level,90-100%,35-55,2,60,N,Distinction
193,EEE,2014B,F,Wales,Lower Than A Level,40-50%,0-35,0,60,N,Pass
194,CCC,2014J,F,Wales,HE Qualification,60-70%,55<=,0,60,N,Pass
195,GGG,2014B,M,South East,A Level or Equivalent,10-20%,35-55,0,120,N,Pass
196,AAA,2014B,F,South East,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
197,CCC,2014B,F,Yorkshire,Lower Than A Level,80-90%,55<=,0,60,N,Withdrawn
198,AAA,2014B,F,North West,Lower Than A Level,0-10%,35-55,0,90,N,Pass
199,CCC,2014B,M,London,Post Graduate Qualification,10-20%,0-35,0,120,N,Fail
200,GGG,2014J,M,East Anglian,HE Qualification,60-70%,55<=,1,90,N,Pass
201,CCC,2014J,M,East Anglian,Lower Than A Level,80-90%,0-35,0,60,N,Pass
202,GGG,2014B,M,Wales,Post Graduate Qualification,40-50%,0-35,0,90,N,Withdrawn
203,DDD,2013B,F,Scotland,HE Qualification,0-10%,0-35,0,30,N,Pass
204,EEE,2014B,F,Yorkshire,HE Qualification,10-20%,35-55,0,90,Y,Fail
205,DDD,2013B,F,Scotland,HE Qualification,80-90%,55<=,0,60,N,Fail
206,BBB,2013B,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Fail
207,FFF,2014J,F,Scotland,A Level or Equivalent,50-60%,0-35,1,90,N,Fail
208,GGG,2014B,F,East Anglian,HE Qualification,90-100%,0-35,0,90,N,Pass
209,BBB,2014J,F,Wales,A Level or Equivalent,30-40%,35-55,2,90,N,Fail
210,FFF,2014B,M,Wales,Lower Than A Level,0-10%,0-35,1,120,Y,Withdrawn
211,BBB,2014B,F,North West,Post Graduate Qualification,80-90%,0-35,0,60,N,Withdrawn
212,FFF,2014B,M,Scotland,Lower Than A Level,70-80%,0-35,0,60,Y,Pass
213,FFF,2014J,F,East Anglian,Post Graduate Qualification,60-70%,0-35,1,30,N,Distinction
214,DDD,2013B,M,London,A Level or Equivalent,90-100%,55<=,0,60,N,Pass
215,FFF,2014B,M,South East,Lower Than A Level,70-80%,55<=,1,60,N,Distinction
216,BBB,2014B,F,East Anglian,A Level or Equivalent,60-70%,0-35,0,60,N,Distinction
217,AAA,2014B,M,London,Post Graduate Qualification,30-40%,35-55,0,90,N,Pass
218,AAA,2014J,M,East Anglian,Post Graduate Qualification,0-10%,35-55,1,60,N,Fail
219,DDD,2013B,M,Scotland,Lower Than A Level,70-80%,0-35,1,120,N,Pass
220,GGG,2014B,F,Scotland,A Level or Equivalent,80-90%,0-35,0,90,N,Withdrawn
221,AAA,2014B,M,Yorkshire,HE Qualification,60-70%,35-55,0,120,N,Pass
222,DDD,2014J,M,South East,HE Qualification,60-70%,0-35,0,30,N,Distinction
223,EEE,2013B,M,Yorkshire,HE Qualification,70-80%,35-55,0,60,N,Fail
224,BBB,2013B,F,Yorkshire,HE Qualification,20-30%,0-35,2,60,N,Withdrawn
225,FFF,2013B,M,Wales,A Level or Equivalent,10-20%,35-55,0,90,N,Pass
226,CCC,2014B,M,Yorkshire,HE Qualification,60-70%,0-35,0,120,N,Distinction
227,FFF,2013B,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,90,N,Pass
228,EEE,2014B,M,North West,A Level or Equivalent,10-20%,0-35,2,60,N,Distinction
229,DDD,2013B,M,Yorkshire,Lower Than A Level,0-10%,0-35,0,60,N,Pass
230,BBB,2014B,F,Wales,A Level or Equivalent,70-80%,35-55,0,90,N,Pass
231,DDD,2014B,M,South East,HE Qualification,40-50%,35-55,1,30,N,Withdrawn
232,FFF,2014J,F,North West,HE Qualification,90-100%,0-35,1,120,Y,Withdrawn
233,AAA,2013B,F,Scotland,Post Graduate Qualification,40-50%,35-55,0,90,N,Withdrawn
234,FFF,2013B,F,London,HE Qualification,50-60%,0-35,0,90,N,Withdrawn
235,DDD,2013B,M,North West,Lower Than A Level,0-10%,0-35,3,120,N,Withdrawn
236,FFF,2014B,F,South East,HE Qualification,90-100%,55<=,0,30,N,Fail
237,EEE,2014J,M,Yorkshire,A Level or Equivalent,30-40%,0-35,0,60,N,Fail
238,DDD,2013B,M,Scotland,HE Qualification,40-50%,35-55,0,60,N,Withdrawn
239,CCC,2013B,M,East Anglian,A Level or Equivalent,60-70%,0-35,1,90,N,Pass
240,EEE,2014B,F,London,HE Qualification,80-90%,0-35,2,90,N,Distinction
241,AAA,2014J,F,East Anglian,Post Graduate Qualification,70-80%,35-55,0,30,N,Withdrawn
242,EEE,2014J,M,Yorkshire,HE Qualification,70-80%,35-55,0,60,N,Fail
243,AAA,2014B,M,East Anglian,HE Qualification,10-20%,0-35,1,60,N,Withdrawn
244,EEE,2013B,F,Yorkshire,HE Qualification,0-10%,35-55,0,60,N,Withdrawn
245,EEE,2014B,F,London,No Formal quals,80-90%,35-55,2,120,N,Fail
246,AAA,2014B,F,Scotland,A Level or Equivalent,90-100%,35-55,0,30,Y,Fail
247,FFF,2014B,M,Scotland,A Level or Equivalent,60-70%,0-35,0,30,N,Withdrawn
248,CCC,2014B,F,Wales,A Level or Equivalent,90-100%,0-35,0,60,Y,Fail
249,FFF,2014B,F,East Anglian,Post Graduate Qualification,30-40%,35-55,0,90,N,Pass
250,AAA,2014J,F,Wales,HE Qualification,30-40%,35-55,0,30,Y,Withdrawn
251,BBB,2013B,M,London,Lower Than A Level,10-20%,0-35,1,30,N,Fail
252,DDD,2013B,F,Scotland,Lower Than A Level,70-80%,0-35,0,60,N,Pass
253,BBB,2013B,M,East Anglian,HE Qualification,60-70%,0-35,0,60,N,Fail
254,CCC,2014B,F,London,HE Qualification,20-30%,0-35,0,30,N,Withdrawn
255,EEE,2014B,M,East Anglian,A Level or Equivalent,90-100%,0-35,0,90,N,Fail
256,BBB,2014J,M,South East,HE Qualification,0-10%,35-55,0,90,N,Pass
257,EEE,2014B,M,London,HE Qualification,70-80%,35-55,0,60,N,Withdrawn
258,AAA,2014B,F,East Anglian,A Level or Equivalent,20-30%,55<=,0,30,N,Pass
259,BBB,2014J,F,North West,HE Qualification,70-80%,35-55,1,60,N,Pass
260,EEE,2014J,F,North West,Lower Than A Level,40-50%,0-35,0,60,Y,Withdrawn
261,FFF,2014J,M,North West,A Level or Equivalent,20-30%,35-55,0,60,N,Withdrawn
262,BBB,2014B,M,East Anglian,A Level or Equivalent,0-10%,35-55,0,90,N,Distinction
263,CCC,2013B,M,East Anglian,A Level or Equivalent,60-70%,35-55,0,30,N,Withdrawn
264,GGG,2014J,F,East Anglian,A Level or Equivalent,10-20%,0-35,0,30,N,Withdrawn
265,GGG,2014B,M,Yorkshire,A Level or Equivalent,40-50%,35-55,0,30,N,Distinction
266,EEE,2013B,M,East Anglian,Post Graduate Qualification,90-100%,0-35,0,30,N,Pass
267,DDD,2014B,F,London,A Level or Equivalent,80-90%,0-35,0,60,N,Distinction
268,CCC,2013B,F,South East,A Level or Equivalent,40-50%,0-35,0,60,N,Pass
269,EEE,2014J,F,Wales,Lower Than A Level,70-80%,0-35,0,90,N,Distinction
270,EEE,2014B,F,North West,A Level or Equivalent,80-90%,35-55,0,30,N,Withdrawn
271,CCC,2014J,M,North West,HE Qualification,60-70%,0-35,0,60,N,Pass
272,AAA,2014B,M,North West,HE Qualification,20-30%,0-35,0,120,N,Distinction
273,BBB,2013B,F,Wales,A Level or Equivalent,80-90%,35-55,0,60,Y,Pass
274,GGG,2014B,M,Yorkshire,Lower Than A Level,0-10%,35-55,3,90,N,Pass
275,CCC,2014B,F,Scotland,Lower Than A Level,50-60%,0-35,1,60,N,Pass
276,DDD,2013B,F,East Anglian,Lower Than A Level,70-80%,0-35,0,30,Y,Pass
277,DDD,2014J,F,Scotland,HE Qualification,50-60%,0-35,3,30,N,Pass
278,FFF,2013B,M,East Anglian,Lower Than A Level,30-40%,35-55,0,90,N,Pass
279,AAA,2014J,M,Wales,A Level or Equivalent,40-50%,35-55,0,90,N,Distinction
280,AAA,2014J,F,East Anglian,No Formal quals,40-50%,0-35,2,60,N,Withdrawn
281,BBB,2013B,M,London,Lower Than A Level,70-80%,55<=,1,60,N,Withdrawn
282,DDD,2013B,M,Scotland,A Level or Equivalent,90-100%,35-55,0,60,N,Pass
283,EEE,2013B,M,Yorkshire,Lower Than A Level,70-80%,35-55,0,30,Y,Distinction
284,DDD,2014J,M,London,A Level or Equivalent,30-40%,0-35,3,30,N,Pass
285,DDD,2013B,F,North West,HE Qualification,10-20%,55<=,0,120,N,Withdrawn
286,GGG,2014B,M,South East,A Level or Equivalent,40-50%,0-35,0,30,N,Pass
287,BBB,2014B,F,Yorkshire,HE Qualification,80-90%,0-35,0,60,N,Withdrawn
288,EEE,2013B,F,London,HE Qualification,60-70%,0-35,3,60,N,Distinction
289,DDD,2014J,M,East Anglian,Lower Than A Level,30-40%,0-35,0,60,Y,Fail
290,DDD,2014J,F,London,A Level or Equivalent,0-10%,0-35,0,120,N,Pass
291,FFF,2013B,F,Wales,Lower Than A Level,20-30%,0-35,0,30,N,Pass
292,BBB,2014J,F,North West,A Level or Equivalent,70-80%,0-35,0,90,N,Fail
293,GGG,2014J,F,North West,Lower Than A Level,60-70%,0-35,0,30,N,Withdrawn
294,CCC,2014J,F,Yorkshire,Lower Than A Level,40-50%,35-55,0,60,N,Withdrawn
295,DDD,2013B,M,North West,Lower Than A Level,30-40%,35-55,1,60,N,Fail
296,DDD,2013B,F,London,A Level or Equivalent,10-20%,0-35,1,90,N,Pass
297,FFF,2013B,F,Wales,No Formal quals,90-100%,0-35,0,60,N,Pass
298,DDD,2014B,M,London,A Level or Equivalent,40-50%,0-35,1,60,N,Withdrawn
299,BBB,2014J,M,Scotland,Lower Than A Level,70-80%,35-55,0,60,N,Pass
300,AAA,2014J,M,London,A Level or Equivalent,40-50%,35-55,0,30,N,Pass
301,CCC,2014J,F,East Anglian,HE Qualification,50-60%,0-35,0,90,N,Fail
302,FFF,2014B,F,South East,A Level or Equivalent,60-70%,55<=,0,120,Y,Withdrawn
303,AAA,2014B,M,Wales,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
304,GGG,2013B,M,South East,HE Qualification,90-100%,35-55,0,60,N,Fail
305,DDD,2013B,M,East Anglian,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn
306,AAA,2013B,F,London,HE Qualification,70-80%,0-35,0,60,N,Pass
307,CCC,2013B,F,London,No Formal quals,90-100%,55<=,0,30,N,Pass
